epoch,accuracy,loss,val_accuracy,val_loss
0,0.25774186849594116,2.941412925720215,0.4753846228122711,1.9902195930480957
1,0.5302942991256714,1.6501541137695312,0.6784615516662598,1.1416394710540771
2,0.6457011103630066,1.1734516620635986,0.7353846430778503,0.8637776970863342
3,0.7145605087280273,0.9683615565299988,0.7730769515037537,0.8832805156707764
4,0.7309097647666931,0.8758118152618408,0.8223077058792114,0.607796847820282
5,0.766493558883667,0.7748708128929138,0.8315384387969971,0.591156005859375
6,0.7866897583007812,0.6977314949035645,0.8461538553237915,0.6117839217185974
7,0.7970763444900513,0.6661259531974792,0.8430769443511963,0.5833710432052612
8,0.8120792508125305,0.6068441271781921,0.8561538457870483,0.5866076946258545
9,0.8270821571350098,0.5873389840126038,0.8607692122459412,0.5602046847343445
10,0.8241969347000122,0.5671406984329224,0.8561538457870483,0.5893047451972961
11,0.8353529572486877,0.5489057302474976,0.8538461327552795,0.5578988194465637
12,0.8403539061546326,0.5336110591888428,0.8899999856948853,0.4769626557826996
13,0.8513175845146179,0.5015966892242432,0.8676922917366028,0.5698508620262146
14,0.8615118265151978,0.45773497223854065,0.8969230651855469,0.4522133767604828
15,0.8617041707038879,0.4620755612850189,0.8746153712272644,0.5077630877494812
16,0.8647816777229309,0.45016783475875854,0.8715384602546692,0.5261889100074768
17,0.8709366917610168,0.42302513122558594,0.868461549282074,0.5654818415641785
18,0.8707443475723267,0.4190584719181061,0.8907692432403564,0.5570759177207947
19,0.8738219141960144,0.3990403711795807,0.9046154022216797,0.4757508635520935
20,0.8872860074043274,0.36105069518089294,0.8784615397453308,0.5601727962493896
21,0.8894017934799194,0.3583431541919708,0.8961538672447205,0.5164117813110352
22,0.8845931887626648,0.3790084421634674,0.9038461446762085,0.4623471200466156
23,0.8895941376686096,0.3652229905128479,0.873846173286438,0.5765964984893799
24,0.8938257098197937,0.3537518382072449,0.9038461446762085,0.43060213327407837
25,0.8970956206321716,0.33121350407600403,0.8876923322677612,0.5219135284423828
26,0.9007501602172852,0.32720324397087097,0.876153826713562,0.619326651096344
27,0.9003654718399048,0.3294663429260254,0.8915384411811829,0.5065739154815674
28,0.899596095085144,0.30601024627685547,0.8953846096992493,0.5892743468284607
29,0.8876706957817078,0.3474048972129822,0.9053846001625061,0.5510550737380981
